Team;Qualified as;Qualified on;Previous appearances in tournament[A]
 Germany[B];Host;27 September 2018;13 (1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016, 2020)
 Belgium;Group F winner;13 October 2023;6 (1972, 1980, 1984, 2000, 2016, 2020)
 France;Group B winner;13 October 2023;10 (1960, 1984, 1992, 1996, 2000, 2004, 2008, 2012, 2016, 2020)
 Portugal;Group J winner;13 October 2023;8 (1984, 1996, 2000, 2004, 2008, 2012, 2016, 2020)
 Scotland;Group A runner-up;15 October 2023;3 (1992, 1996, 2020)
 Spain;Group A winner;15 October 2023;11 (1964, 1980, 1984, 1988, 1996, 2000, 2004, 2008, 2012, 2016, 2020)
 Turkey;Group D winner;15 October 2023;5 (1996, 2000, 2008, 2016, 2020)
 Austria;Group F runner-up;16 October 2023;3 (2008, 2016, 2020)
 England;Group C winner;17 October 2023;10 (1968, 1980, 1988, 1992, 1996, 2000, 2004, 2012, 2016, 2020)
 Hungary;Group G winner;16 November 2023;4 (1964, 1972, 2016, 2020)
 Slovakia;Group J runner-up;16 November 2023;5 (1960, 1976, 1980, 2016, 2020)
 Albania;Group E winner;17 November 2023;1 (2016)
 Denmark;Group H winner;17 November 2023;9 (1964, 1984, 1988, 1992, 1996, 2000, 2004, 2012, 2020)
 Netherlands;Group B runner-up;18 November 2023;10 (1976, 1980, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2020)
 Romania;Group I winner;18 November 2023;5 (1984, 1996, 2000, 2008, 2016)
 Switzerland;Group I runner-up;18 November 2023;5 (1996, 2004, 2008, 2016, 2020)
 Serbia;Group G runner-up;19 November 2023;5 (1960, 1968, 1976, 1984, 2000)[E]
 Czechia;Group E runner-up;20 November 2023;10 (1960, 1976, 1980, 1996, 2000, 2004, 2008, 2012, 2016, 2020)
 Italy;Group C runner-up;20 November 2023;10 (1968, 1980, 1988, 1996, 2000, 2004, 2008, 2012, 2016, 2020)
 Slovenia;Group H runner-up;20 November 2023;1 (2000)
 Croatia;Group D runner-up;21 November 2023;6 (1996, 2004, 2008, 2012, 2016, 2020)
 Greece;;;
 Ukraine;;;
 Wales;;;
